,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
1498,462000,33.0,1,do zamieszkania,,600,garaż/miejsce parkingowe,miejskie,"os. Centrum B B, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1499,685000,43.0,2,,,570,,miejskie,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
1500,,66.02,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Misjonarska, Łobzów, Krowodrza, Kraków, małopolskie"
1501,,66.25,2,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Misjonarska, Łobzów, Krowodrza, Kraków, małopolskie"
1502,205000,21.8,1,,,,,,"ul. Juliusza Kadena-Bandrowskiego 5, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
1503,450000,39.28,2,do remontu,balkon,,,miejskie,"Osiedle Handlowe, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1504,649000,45.41,3,do zamieszkania,,475,,miejskie,"os. Teatralne, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1505,406320,33.86,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1506,379400,30.95,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1507,371400,30.95,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,gazowe,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1508,423250,33.86,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1509,406320,33.86,2,,ogródek,,garaż/miejsce parkingowe,gazowe,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1510,558375,44.67,3,,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1511,566150,43.55,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1512,457110,33.86,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1513,522600,43.55,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1514,119000,12.3,1,,,,,,"ul. Powały z Taczewa, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie"
1515,189000,19.7,1,,,,,gazowe,"ul. Jana Kiepury, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
1516,129000,13.7,1,,,,,,"ul. Księdza Franciszka Maja, Kliny, Swoszowice, Kraków, małopolskie"
1517,119000,12.4,1,,,,,,"ul. Powały z Taczewa, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie"
1518,169000,14.2,1,,,,,,"ul. Młodzieży 9a, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
1519,950000,63.34,4,do zamieszkania,"balkon, taras",550,,gazowe,"Kazimierz, Stare Miasto, Kraków, małopolskie"
1520,499999,36.0,2,do wykończenia,balkon,250,garaż/miejsce parkingowe,miejskie,"Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
1521,897788,52.2,3,do wykończenia,"balkon, ogródek, taras",550,garaż/miejsce parkingowe,inne,"ul. Królowej Jadwigi, Wola Justowska, Zwierzyniec, Kraków, małopolskie"
1522,419000,26.4,1,do wykończenia,"balkon, ogródek",300,,miejskie,"ul. Czerwone Maki, Ruczaj, Dębniki, Kraków, małopolskie"
1523,795000,49.75,3,do wykończenia,"balkon, ogródek",550,garaż/miejsce parkingowe,miejskie,"ul. Czerwone Maki, Ruczaj, Dębniki, Kraków, małopolskie"
1524,670000,53.0,3,do zamieszkania,balkon,700,,miejskie,"ul. Kobierzyńska, Ruczaj, Dębniki, Kraków, małopolskie"
1525,640000,40.5,2,do wykończenia,"balkon, ogródek",450,garaż/miejsce parkingowe,miejskie,"ul. Czerwone Maki, Ruczaj, Dębniki, Kraków, małopolskie"
1526,650000,40.0,2,do zamieszkania,balkon,370,,miejskie,"ul. Kotlarska, Grzegórzki, Grzegórzki, Kraków, małopolskie"
1527,579426,42.8,1,do wykończenia,,,,,"ul. Kocmyrzowska, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1528,1250000,58.1,3,do zamieszkania,balkon,700,garaż/miejsce parkingowe,miejskie,"ul. płk. Francesco Nullo, Grzegórzki, Grzegórzki, Kraków, małopolskie"
1529,229000,19.4,1,do wykończenia,,,,miejskie,"ul. Kalwaryjska, Stare Podgórze, Podgórze, Kraków, małopolskie"
1530,7350000,294.0,6,do zamieszkania,balkon,1050,,gazowe,"ul. marsz. Józefa Piłsudskiego, Nowy Świat, Stare Miasto, Kraków, małopolskie"
1531,1780000,73.0,2,do zamieszkania,"ogródek, taras",500,,miejskie,"ul. Przegon, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
1532,614000,55.0,2,do zamieszkania,,450,garaż/miejsce parkingowe,gazowe,"ul. Obozowa, Ruczaj, Dębniki, Kraków, małopolskie"
1533,527000,38.48,2,do wykończenia,,,,miejskie,"ul. Bolesława Czerwieńskiego, Azory, Prądnik Biały, Kraków, małopolskie"
1534,790000,100.0,3,do zamieszkania,,1000,garaż/miejsce parkingowe,miejskie,"Bronowice, Bronowice, Kraków, małopolskie"
1535,535000,36.27,1,do zamieszkania,balkon,,garaż/miejsce parkingowe,gazowe,"ul. Stanisława Przybyszewskiego, Małe Błonia, Krowodrza, Kraków, małopolskie"
1536,510000,30.0,1,do zamieszkania,balkon,600,,miejskie,"ul. Bolesława Limanowskiego, Stare Podgórze, Podgórze, Kraków, małopolskie"
1537,399000,30.0,2,,,,,,"Krowodrza, Krowodrza, Kraków, małopolskie"
1538,371400,30.95,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1539,522600,43.55,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1540,440180,33.86,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1541,794481,51.01,3,,"ogródek, taras",,,,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
1542,558375,44.67,3,do wykończenia,"ogródek, taras",,,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1543,371640,30.97,2,do wykończenia,"ogródek, taras",,,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1544,760000,50.51,2,do zamieszkania,balkon,606,,,"ul. ks. Józefa Meiera, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
1545,950000,49.0,2,do zamieszkania,,250,,elektryczne,"ul. Brzozowa, Kazimierz, Stare Miasto, Kraków, małopolskie"
1546,1104700,49.14,2,do zamieszkania,balkon,500,,miejskie,"ul. Skawińska, Kazimierz, Stare Miasto, Kraków, małopolskie"
1547,460000,30.0,1,do remontu,balkon,498,garaż/miejsce parkingowe,miejskie,"Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
1548,730000,57.82,2,do zamieszkania,balkon,520,garaż/miejsce parkingowe,gazowe,"Profesora Stefana Myczkowskiego, Mydlniki, Bronowice, Kraków, małopolskie"
1549,,73.11,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"Federowicza, Skotniki, Dębniki, Kraków, małopolskie"
1550,,61.67,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"Federowicza, Skotniki, Dębniki, Kraków, małopolskie"
1551,,26.44,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"Federowicza, Skotniki, Dębniki, Kraków, małopolskie"
1552,457110,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1553,558375,44.67,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1554,457110,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1555,566150,43.55,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1556,544375,43.55,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1557,440180,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1558,566150,43.55,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1559,457110,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1560,,110.0,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Grzegórzecka 77, Grzegórzki, Grzegórzki, Kraków, małopolskie"
1561,536040,44.67,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1562,558375,44.67,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1563,580710,44.67,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1564,457110,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1565,423250,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1566,440180,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1567,423250,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1568,423250,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1569,522600,43.55,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1570,536040,44.67,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1571,522600,43.55,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1572,371640,30.97,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1573,544375,43.55,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1574,406320,33.86,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1575,406320,33.86,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1576,406320,33.86,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1577,406320,33.86,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1578,500825,43.55,3,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1579,423250,33.86,2,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1580,500825,43.55,3,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1581,371400,30.95,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Edwarda Szymańskiego, Branice, Nowa Huta, Kraków, małopolskie"
1582,1750000,70.0,3,,,,,,"ul. Podbrzezie, Kazimierz, Stare Miasto, Kraków, małopolskie"
1583,1690000,134.0,4,do zamieszkania,ogródek,,garaż/miejsce parkingowe,gazowe,"Mydlniki, Bronowice, Kraków, małopolskie"
1584,1100000,67.0,3,,balkon,650,,,"ul. Samuela Lindego, Mydlniki, Bronowice, Kraków, małopolskie"
1585,520000,31.0,1,do zamieszkania,,185,,elektryczne,"ul. Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie"
1586,574029,29.86,1,do zamieszkania,taras,,,,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
1587,636700,35.77,2,,balkon,,,,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
1588,829192,60.97,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Kobierzyńska, Ruczaj, Dębniki, Kraków, małopolskie"
1589,700280,50.02,2,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Kobierzyńska, Ruczaj, Dębniki, Kraków, małopolskie"
1590,799540,57.11,3,do wykończenia,balkon,,,,"Ruczaj, Dębniki, Kraków, małopolskie"
1591,923944,57.62,4,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
1592,686808,39.13,2,do zamieszkania,balkon,,,,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
1593,1050000,47.79,2,,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Michała Bałuckiego, Dębniki, Dębniki, Kraków, małopolskie"
1594,930000,42.53,3,,,1,,gazowe,"ul. Paulińska, Kazimierz, Stare Miasto, Kraków, małopolskie"
1595,679000,49.54,3,do zamieszkania,balkon,520,,miejskie,"ul. Aleksandry, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
1596,444900,40.7,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"Czarnochowice, Wieliczka, wielicki, małopolskie"
1597,1200000,69.0,3,,"balkon, ogródek",,garaż/miejsce parkingowe,gazowe,"ul. Ernesta Solvaya, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie"
1598,536000,41.53,2,,,470,garaż/miejsce parkingowe,,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
1599,690858,54.83,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1600,670000,51.64,2,do zamieszkania,balkon,510,garaż/miejsce parkingowe,gazowe,"ul. Imielna, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
1601,950000,62.54,2,do remontu,balkon,,,gazowe,"ul. Karola Szymanowskiego, Nowa Wieś, Krowodrza, Kraków, małopolskie"
1602,,49.22,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Do Groty, Zakrzówek, Dębniki, Kraków, małopolskie"
1603,630000,46.0,3,do wykończenia,balkon,400,garaż/miejsce parkingowe,miejskie,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
1604,,67.57,4,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Misjonarska, Łobzów, Krowodrza, Kraków, małopolskie"
1605,,61.02,2,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Misjonarska, Łobzów, Krowodrza, Kraków, małopolskie"
1606,,64.67,3,do wykończenia,,,garaż/miejsce parkingowe,,"ul. Misjonarska, Łobzów, Krowodrza, Kraków, małopolskie"
1607,997000,78.4,6,do zamieszkania,balkon,1000,garaż/miejsce parkingowe,miejskie,"bpa Albina Małysiaka, Kobierzyn, Dębniki, Kraków, małopolskie"
1608,745000,55.0,3,do zamieszkania,,760,,miejskie,"os. Teatralne, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1609,518000,30.0,2,do wykończenia,"balkon, ogródek",200,garaż/miejsce parkingowe,miejskie,"ul. Antoniego Augustynka-Wichury, Krowodrza, Krowodrza, Kraków, małopolskie"
1610,1170000,156.0,7,do zamieszkania,,,,elektryczne,"Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
1611,657090,31.29,1,,,380,,miejskie,"Ludwinów, Dębniki, Kraków, małopolskie"
1612,1877400,126.0,4,do zamieszkania,"balkon, ogródek",400,garaż/miejsce parkingowe,gazowe,"ul. Pod Stokiem, Chełm, Zwierzyniec, Kraków, małopolskie"
1613,1249859,69.63,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,miejskie,"ul. Stanisława Przybyszewskiego, Bronowice, Bronowice, Kraków, małopolskie"
1614,848900,61.6,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Rozdroże, Ludwinów, Dębniki, Kraków, małopolskie"
1615,655000,29.94,1,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Stanisława Lema, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
1616,580433,41.02,2,,balkon,,garaż/miejsce parkingowe,,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
1617,776408,63.64,3,do wykończenia,,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1618,573530,34.55,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"Osiedle Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1619,620000,36.25,1,do zamieszkania,balkon,,,miejskie,"ul. Tuchowska, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
1620,1133860,57.85,3,do zamieszkania,,,,miejskie,"ul. gen. Tadeusza Kościuszki, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
1621,1140858,51.39,2,do zamieszkania,,,,miejskie,"ul. gen. Tadeusza Kościuszki, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
1622,1251360,52.14,2,do zamieszkania,,,,miejskie,"ul. gen. Tadeusza Kościuszki, Zwierzyniec, Zwierzyniec, Kraków, małopolskie"
1623,1199999,75.0,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1624,1500000,83.15,3,do zamieszkania,balkon,,,gazowe,"ul. Topolowa, Wesoła Wschód, Grzegórzki, Kraków, małopolskie"
1625,850500,61.11,3,,,,garaż/miejsce parkingowe,miejskie,"os. Zgody, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1626,630000,49.3,3,do remontu,balkon,830,,miejskie,"Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
1627,670000,35.0,2,do zamieszkania,,500,,kotłownia,"ul. Jabłonowskich, Piasek, Stare Miasto, Kraków, małopolskie"
1628,519000,50.79,2,,"balkon, taras",,garaż/miejsce parkingowe,,"ul. Leona Petrażyckiego, Olszyny, Dębniki, Kraków, małopolskie"
1629,529000,57.29,3,,"balkon, taras",,garaż/miejsce parkingowe,,"ul. Leona Petrażyckiego, Olszyny, Dębniki, Kraków, małopolskie"
1630,739000,45.5,3,do zamieszkania,,,,miejskie,"ul. Wielicka, Kabel, Podgórze, Kraków, małopolskie"
1631,580000,39.5,2,do wykończenia,balkon,,,miejskie,"ul. dr. Jana Piltza, Kobierzyn, Dębniki, Kraków, małopolskie"
1632,600000,37.0,2,do remontu,,,,,"ul. Józefa Chełmońskiego, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
1633,524860,32.2,1,,balkon,,garaż/miejsce parkingowe,,"ul. Henryka Pachońskiego, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
1634,545000,42.1,2,do zamieszkania,,,,miejskie,"ul. Strzelców, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
1635,575000,45.15,2,,,,,miejskie,"ul. Wielicka, Kabel, Podgórze, Kraków, małopolskie"
1636,749000,62.83,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Stefana Banacha, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
1637,610000,46.61,2,do remontu,,,,miejskie,"os. Na Skarpie, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1638,545000,32.6,2,do zamieszkania,balkon,,,miejskie,"ul. Ludwika Rydygiera, Rżąka, Bieżanów-Prokocim, Kraków, małopolskie"
1639,650000,55.67,3,do remontu,,,,miejskie,"os. Jagiellońskie, Bieńczyce, Bieńczyce, Kraków, małopolskie"
1640,759000,54.0,3,do zamieszkania,balkon,,,miejskie,"os. Oświecenia, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1641,749000,53.0,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Strzelców, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
1642,549000,38.0,2,,balkon,,,miejskie,"os. Tysiąclecia, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1643,1145000,71.49,4,do zamieszkania,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Andrzeja Badurskiego, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie"
1644,550000,43.0,2,,,,,miejskie,"os. Teatralne, Nowa Huta, Nowa Huta, Kraków, małopolskie"
1645,489000,51.81,2,,balkon,,garaż/miejsce parkingowe,,"ul. Leona Petrażyckiego, Olszyny, Dębniki, Kraków, małopolskie"
1646,439000,45.95,2,,balkon,,garaż/miejsce parkingowe,,"ul. Leona Petrażyckiego, Olszyny, Dębniki, Kraków, małopolskie"
1647,790000,66.0,3,,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1648,500000,35.0,2,,ogródek,,,miejskie,"ul. prof. Bronisława Geremka, Kliny, Swoszowice, Kraków, małopolskie"
1649,579000,36.6,2,do zamieszkania,,,,miejskie,"ul. Okólna, Kozłówka, Bieżanów-Prokocim, Kraków, małopolskie"
1650,799000,55.48,2,,balkon,,garaż/miejsce parkingowe,,"ul. Stefana Banacha, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
1651,749000,39.5,2,do zamieszkania,balkon,,,miejskie,"ul. dr. Jana Piltza, Kobierzyn, Dębniki, Kraków, małopolskie"
1652,749000,53.5,3,do zamieszkania,balkon,,,miejskie,"ul. Heleny, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
1653,699000,48.4,2,do wykończenia,taras,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1654,725000,52.0,3,do zamieszkania,balkon,,,miejskie,"ul. Heleny, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie"
1655,530000,38.0,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Bolesława Czerwieńskiego, Azory, Prądnik Biały, Kraków, małopolskie"
1656,950000,73.74,4,do zamieszkania,balkon,750,,miejskie,"ul. Wacława Lipińskiego, Ruczaj, Dębniki, Kraków, małopolskie"
1657,799000,48.0,3,do zamieszkania,balkon,500,garaż/miejsce parkingowe,miejskie,"os. Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
1658,539000,35.62,2,do wykończenia,balkon,330,garaż/miejsce parkingowe,miejskie,"ul. Lasówka, Płaszów, Podgórze, Kraków, małopolskie"
1659,990000,52.6,2,,,200,,,"ul. Karmelicka, Piasek, Stare Miasto, Kraków, małopolskie"
1660,640000,52.0,3,,,500,,miejskie,"Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
1661,2699000,165.0,6,do zamieszkania,"balkon, ogródek",1,garaż/miejsce parkingowe,gazowe,"Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie"
1662,1099000,58.0,2,do zamieszkania,balkon,650,,miejskie,"Kazimierz, Stare Miasto, Kraków, małopolskie"
1663,699000,50.0,2,do wykończenia,taras,500,garaż/miejsce parkingowe,kotłownia,"ul. Sosnowiecka, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
1664,1099000,67.8,3,do zamieszkania,balkon,1300,,miejskie,"ul. Marii i Bolesława Wysłouchów, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
1665,699000,37.2,2,do zamieszkania,balkon,600,garaż/miejsce parkingowe,miejskie,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
1666,579000,65.0,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,,"ul. Skotnicka, Skotniki, Dębniki, Kraków, małopolskie"
1667,365000,23.0,1,,,200,,inne,"ul. Rogatka, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie"
1668,739000,43.48,2,,balkon,,garaż/miejsce parkingowe,miejskie,"Krowodrza Górka, Prądnik Biały, Kraków, małopolskie"
1669,1617268,83.15,4,,balkon,,,miejskie,"ul. Stanisława Przybyszewskiego, Bronowice, Bronowice, Kraków, małopolskie"
1670,770000,55.0,2,do zamieszkania,balkon,350,,,"ul. Reduta, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie"
1671,640000,52.0,3,,,600,garaż/miejsce parkingowe,miejskie,"Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie"
1672,950000,73.74,4,do zamieszkania,balkon,750,,miejskie,"Ruczaj, Dębniki, Kraków, małopolskie"
1673,1158529,71.47,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Rydlówka, Stare Podgórze, Podgórze, Kraków, małopolskie"
1674,686808,39.13,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
1675,748763,50.3,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
1676,1149000,84.48,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Walerego Sławka, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
1677,418000,28.5,1,do zamieszkania,balkon,250,,gazowe,"ul. ks. Adolfa Zagrodzkiego, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie"
1678,945000,61.0,3,do remontu,balkon,610,,miejskie,"ul. Zamkowa, Dębniki, Dębniki, Kraków, małopolskie"
1679,6500000,706.0,,do wykończenia,,1,garaż/miejsce parkingowe,gazowe,"ul. Zygmunta Miłkowskiego, Ruczaj, Dębniki, Kraków, małopolskie"
1680,699000,53.0,2,do remontu,balkon,600,garaż/miejsce parkingowe,miejskie,"ul. Juliusza Lea, Łobzów, Krowodrza, Kraków, małopolskie"
1681,5970000,148.01,3,,,,,,"ul. Stolarska, Stare Miasto, Stare Miasto, Kraków, małopolskie"
