,cena,powierzchnia,liczba_pokoi,stan_wykonczenia,balkon_ogrod_taras,czynsz,miejsce_parkingowe,ogrzewanie,lokalizacja
6120,690000,72.9,4,do zamieszkania,balkon,867,,miejskie,"ul. Jakuba Bojki, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie"
6121,899000,67.0,3,do zamieszkania,balkon,520,,miejskie,"osiedle eurpoejskie, Ruczaj, Dębniki, Kraków, małopolskie"
6122,997000,56.0,2,do zamieszkania,balkon,850,,miejskie,"ul. Szlak, Kleparz, Stare Miasto, Kraków, małopolskie"
6123,947784,46.92,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6124,850000,51.67,2,do zamieszkania,,555,,miejskie,"ul. Kazimierza Wielkiego, Łobzów, Krowodrza, Kraków, małopolskie"
6125,668700,44.58,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,gazowe,"Bronowice, Bronowice, Kraków, małopolskie"
6126,982223,57.88,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"Stare Podgórze, Podgórze, Kraków, małopolskie"
6127,820000,59.0,3,do zamieszkania,,,,gazowe,"ul. ks. Adolfa Zagrodzkiego, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie"
6128,646000,40.0,2,do zamieszkania,,,,miejskie,"ul. Mazowiecka, Krowodrza, Krowodrza, Kraków, małopolskie"
6129,799000,66.0,2,do zamieszkania,balkon,830,,miejskie,"Azory, Prądnik Biały, Kraków, małopolskie"
6130,1000970,50.3,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6131,1199900,100.02,4,do zamieszkania,"balkon, taras",,garaż/miejsce parkingowe,inne,"Skotniki, Dębniki, Kraków, małopolskie"
6132,783000,54.3,3,do zamieszkania,balkon,,garaż/miejsce parkingowe,,"ul. Klemensa Janickiego, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
6133,3350000,107.55,4,,balkon,,,,"Stare Podgórze, Podgórze, Kraków, małopolskie"
6134,1772898,91.86,4,,balkon,,garaż/miejsce parkingowe,gazowe,"Aleja Jana Pawła II, Rakowice, Prądnik Czerwony, Kraków, małopolskie"
6135,2254080,93.92,4,,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Stanisława Przybyszewskiego, Bronowice, Bronowice, Kraków, małopolskie"
6136,774688,45.04,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Na Błonie, Bronowice, Bronowice, Kraków, małopolskie"
6137,1050000,47.79,2,do wykończenia,balkon,,,,"Dębniki, Dębniki, Kraków, małopolskie"
6138,959000,72.3,3,do remontu,,380,,,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie"
6139,2600000,123.0,4,,taras,,,gazowe,"ul. św. Jana, Stare Miasto, Stare Miasto, Kraków, małopolskie"
6140,924392,77.68,3,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Piaszczysta, Prądnik Biały, Prądnik Biały, Kraków, małopolskie"
6141,4950000,222.0,4,,taras,,,,"ul. św. Jana, Stare Miasto, Stare Miasto, Kraków, małopolskie"
6142,1150000,39.0,2,,balkon,,,miejskie,"ul. Nadwiślańska, Stare Podgórze, Podgórze, Kraków, małopolskie"
6143,731157,56.68,3,,,,,miejskie,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie"
6144,944921,60.08,5,,,,,miejskie,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie"
6145,,54.2,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6146,,54.2,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6147,,49.55,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6148,,49.55,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6149,,36.35,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6150,,54.2,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6151,,54.2,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6152,,54.2,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6153,,48.85,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6154,,54.2,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6155,,49.55,3,do wykończenia,"balkon, ogródek",,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6156,,36.35,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6157,,33.05,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6158,,54.1,3,do wykończenia,"balkon, ogródek",,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6159,,36.35,1,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6160,,54.1,3,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Arsenał, Górka Narodowa, Prądnik Biały, Kraków, małopolskie"
6161,799000,33.0,2,do zamieszkania,,395,,miejskie,"ul. Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie"
6162,835000,44.71,2,do zamieszkania,ogródek,,garaż/miejsce parkingowe,miejskie,"ul. Wrocławska, Łobzów, Krowodrza, Kraków, małopolskie"
6163,,65.56,3,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie"
6164,945438,92.69,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie"
6165,845000,135.24,6,do wykończenia,,,garaż/miejsce parkingowe,,"Kliny, Swoszowice, Kraków, małopolskie"
6166,1100000,44.0,2,do zamieszkania,,500,garaż/miejsce parkingowe,miejskie,"ul. Masarska, Grzegórzki, Grzegórzki, Kraków, małopolskie"
6167,508760,31.6,2,do wykończenia,ogródek,,garaż/miejsce parkingowe,,"ul. Piaskowa, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie"
6168,,46.6,2,do wykończenia,balkon,,garaż/miejsce parkingowe,,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie"
6169,898768,43.21,2,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie"
6170,747126,49.98,2,do wykończenia,ogródek,,,miejskie,"Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie"
6171,499000,38.0,1,,,,,,"Nowa Huta, Nowa Huta, Kraków, małopolskie"
6172,,65.14,3,do wykończenia,ogródek,670,garaż/miejsce parkingowe,miejskie,"Stare Podgórze, Podgórze, Kraków, małopolskie"
6173,599000,35.77,2,do wykończenia,,,garaż/miejsce parkingowe,miejskie,"ul. Rydlówka, Bronowice Małe, Bronowice, Kraków, małopolskie"
6174,2020612,96.68,4,do wykończenia,balkon,,garaż/miejsce parkingowe,miejskie,"ul. Brązownicza, Małe Błonia, Krowodrza, Kraków, małopolskie"
